time,value
2019-08-30 20:21:42.393,7844.692
2019-08-30 20:21:53.926,7844.6914
2019-08-30 20:22:17.003,7843.7446
2019-08-30 20:22:28.535,7844.6924
2019-08-30 20:22:28.538,7844.6924
2019-08-30 20:22:40.070,7844.6924
2019-08-30 20:22:51.601,7844.6924
2019-08-30 20:23:14.664,7845.641
2019-08-30 20:23:26.204,7843.7446
2019-08-30 20:23:37.739,7844.6924
2019-08-30 20:23:49.272,7844.693
2019-08-30 20:24:12.350,7845.6416
2019-08-30 20:24:12.353,7845.6416
2019-08-30 20:24:23.888,7844.6924
2019-08-30 20:24:23.891,7844.6924
2019-08-30 20:24:35.429,7844.693
2019-08-30 20:25:10.027,7843.745
2019-08-30 20:25:21.563,7843.7456
2019-08-30 20:25:21.566,7843.7456
2019-08-30 20:25:33.101,7844.6934
2019-08-30 20:25:33.104,7844.6934
2019-08-30 20:25:44.636,7844.6934
2019-08-30 20:25:56.172,7841.8486
2019-08-30 20:26:07.706,7843.746
2019-08-30 20:26:42.315,7844.694
2019-08-30 20:26:42.318,7844.694
2019-08-30 20:27:05.398,7843.746
2019-08-30 20:27:16.938,7842.7974
2019-08-30 20:27:40.020,7840.9014
2019-08-30 20:27:51.565,7842.7974
2019-08-30 20:27:51.568,7842.7974
2019-08-30 20:28:03.116,7843.746
2019-08-30 20:28:14.659,7844.6943
2019-08-30 20:28:37.735,7844.6943
2019-08-30 20:28:37.738,7844.6943
2019-08-30 20:28:49.276,7842.7983
2019-08-30 20:29:12.350,7844.695
2019-08-30 20:29:23.890,7839.9536
2019-08-30 20:29:35.434,7841.85
2019-08-30 20:29:46.973,7841.85
2019-08-30 20:29:58.516,7841.8506
2019-08-30 20:30:10.054,7843.7476
2019-08-30 20:30:33.139,7843.7476
2019-08-30 20:30:44.687,7840.903
2019-08-30 20:30:56.234,7840.903
2019-08-30 20:31:07.775,7841.8506
2019-08-30 20:31:07.778,7841.8506
2019-08-30 20:31:19.319,7841.851
2019-08-30 20:31:19.324,7841.851
2019-08-30 20:31:30.849,7840.9033
2019-08-30 20:31:42.386,7841.8506
2019-08-30 20:31:53.920,7842.7993
2019-08-30 20:32:05.457,7840.9033
2019-08-30 20:32:16.991,7840.9033
2019-08-30 20:32:28.537,7839.9546
2019-08-30 20:32:40.084,7842.7993
2019-08-30 20:32:40.087,7842.7993
2019-08-30 20:32:51.631,7841.851
2019-08-30 20:33:03.175,7839.007
2019-08-30 20:33:14.718,7841.8516
2019-08-30 20:33:26.261,7839.955
2019-08-30 20:33:37.814,7840.904
2019-08-30 20:34:00.913,7839.9556
2019-08-30 20:34:12.455,7841.852
2019-08-30 20:34:47.073,7839.9556
2019-08-30 20:34:47.076,7839.9556
2019-08-30 20:35:10.154,7839.009
2019-08-30 20:35:10.157,7839.009
2019-08-30 20:35:21.698,7840.905
2019-08-30 20:35:33.246,7839.956
2019-08-30 20:35:44.792,7840.905
2019-08-30 20:35:44.795,7840.905
2019-08-30 20:35:56.338,7839.009
2019-08-30 20:36:54.075,7840.9053
2019-08-30 20:37:05.617,7839.0093
2019-08-30 20:37:17.161,7839.0093
2019-08-30 20:37:28.698,7839.957
2019-08-30 20:37:40.244,7839.957
2019-08-30 20:37:51.789,7838.0605
2019-08-30 20:37:51.792,7838.0605
2019-08-30 20:38:14.879,7838.061
2019-08-30 20:38:26.430,7838.061
2019-08-30 20:38:37.976,7839.9575
2019-08-30 20:38:49.518,7839.01
2019-08-30 20:39:01.069,7838.0615
2019-08-30 20:39:12.611,7838.0615
2019-08-30 20:39:24.162,7839.0103
2019-08-30 20:39:58.807,7837.1143
2019-08-30 20:40:21.878,7835.2173
2019-08-30 20:40:21.881,7835.2173
2019-08-30 20:40:33.420,7838.062
2019-08-30 20:40:44.966,7839.0107
2019-08-30 20:40:44.969,7839.0107
2019-08-30 20:41:31.161,7836.1665
2019-08-30 20:41:31.164,7836.1665
2019-08-30 20:41:42.707,7836.1665
2019-08-30 20:41:54.265,7837.1147
2019-08-30 20:42:05.815,7838.0625
2019-08-30 20:42:17.372,7837.1147
2019-08-30 20:42:40.479,7836.1665
2019-08-30 20:42:52.035,7838.063
2019-08-30 20:43:38.232,7837.115
2019-08-30 20:43:49.773,7835.218
2019-08-30 20:44:24.435,7834.271
2019-08-30 20:44:35.978,7835.2188
2019-08-30 20:44:47.530,7836.168
2019-08-30 20:45:10.633,7834.2715
2019-08-30 20:45:10.636,7834.2715
2019-08-30 20:45:22.186,7834.2715
2019-08-30 20:45:33.734,7833.3228
2019-08-30 20:45:45.284,7836.168
2019-08-30 20:45:56.834,7834.2715
2019-08-30 20:46:08.382,7832.375
2019-08-30 20:46:19.933,7834.272
2019-08-30 20:46:54.596,7833.323
2019-08-30 20:47:06.159,7832.3755
2019-08-30 20:47:06.164,7832.3755
2019-08-30 20:47:29.273,7832.3755
2019-08-30 20:47:29.276,7832.3755
2019-08-30 20:47:40.836,7835.2197
2019-08-30 20:47:52.389,7833.323
2019-08-30 20:48:03.948,7830.479
2019-08-30 20:48:03.953,7830.479
2019-08-30 20:48:27.072,7831.4272
2019-08-30 20:48:38.630,7831.4277
2019-08-30 20:48:50.178,7831.4272
2019-08-30 20:49:01.729,7830.4795
2019-08-30 20:49:13.285,7832.3755
2019-08-30 20:49:24.841,7830.4795
2019-08-30 20:49:36.396,7831.4277
2019-08-30 20:49:47.953,7832.3755
2019-08-30 20:50:11.074,7830.4795
2019-08-30 20:50:22.631,7831.4277
2019-08-30 20:50:45.740,7829.5312
2019-08-30 20:50:57.306,7832.3765
2019-08-30 20:51:08.867,7830.4795
2019-08-30 20:51:20.431,7830.4795
2019-08-30 20:51:31.984,7830.48
2019-08-30 20:51:43.544,7828.583
2019-08-30 20:51:55.101,7831.428
2019-08-30 20:52:06.659,7829.5317
2019-08-30 20:52:18.219,7830.4805
2019-08-30 20:52:29.777,7828.5835
2019-08-30 20:52:41.331,7831.4287
